,Zip Code,Life Expectancy,Count
0,94002,82.55,1
1,94005,80.65,26
2,94010,82.655,1
3,94014,80.65,62
4,94015,81.34,17
5,94019,81.27000000000001,0
6,94020,81.695,0
7,94021,81.695,0
8,94022,83.905,39
9,94024,83.43,29
10,94025,83.22,31
11,94027,83.22,29
12,94028,83.905,11
13,94030,82.10499999999999,3
14,94037,79.85499999999999,0
15,94038,79.85499999999999,0
16,94040,82.25,29
17,94041,81.265,25
18,94043,82.53,33
19,94044,79.85499999999999,4
20,94060,81.695,0
21,94061,81.675,24
22,94062,82.17,4
23,94063,79.11333333333334,28
24,94065,81.60000000000001,1
25,94066,80.58,4
26,94070,82.99000000000001,0
27,94074,81.695,0
28,94080,80.185,9
29,94085,82.91,19
30,94086,81.705,24
31,94087,82.855,26
32,94089,80.4,17
33,94102,73.57,306
34,94103,73.125,308
35,94104,78.87,299
36,94105,78.87,298
37,94107,80.45500000000001,307
38,94108,81.72,299
39,94109,79.75999999999999,301
40,94110,79.11,309
41,94111,78.87,296
42,94112,80.12,205
43,94114,80.09,309
44,94115,78.63499999999999,305
45,94116,79.805,186
46,94117,79.88499999999999,308
47,94118,82.83500000000001,302
48,94121,82.375,255
49,94122,82.505,254
50,94123,82.595,299
51,94124,75.34,270
52,94127,83.61,264
53,94128,80.185,3
54,94129,82.595,294
55,94131,82.205,310
56,94132,81.67,122
57,94133,82.075,295
58,94134,79.94999999999999,233
59,94158,82.54,233
60,94301,83.505,40
61,94303,81.06,45
62,94304,83.54,41
63,94305,83.07,40
64,94306,83.68,46
65,94401,81.50999999999999,1
66,94402,81.69000000000001,1
67,94403,81.475,1
68,94404,83.50999999999999,1
69,94501,79.74000000000001,4
70,94502,83.25999999999999,3
71,94503,79.72,0
72,94505,84.76,0
73,94506,83.245,5
74,94507,82.395,1
75,94508,82.99000000000001,10
76,94509,76.845,0
77,94510,79.228,12
78,94511,76.858,0
79,94512,77.62,0
80,94513,78.54,0
81,94514,79.7125,0
82,94515,82.99000000000001,12
83,94516,86.38,8
84,94517,81.475,0
85,94518,79.86000000000001,2
86,94519,78.81,2
87,94520,76.965,4
88,94521,79.13333333333334,1
89,94523,79.715,5
90,94525,78.77000000000001,7
91,94526,82.275,5
92,94528,85.85,4
93,94530,82.255,0
94,94531,79.02,0
95,94533,78.52,0
96,94534,82.63,0
97,94535,78.74000000000001,0
98,94536,80.91,0
99,94538,79.67500000000001,0
100,94539,83.47,0
101,94541,77.275,0
102,94542,79.35499999999999,0
103,94544,78.25,0
104,94545,78.06,0
105,94546,79.85499999999999,0
106,94547,80.955,2
107,94548,81.09,0
108,94549,82.57,0
109,94550,79.975,0
110,94551,81.74,10
111,94552,82.375,4
112,94553,78.77000000000001,15
113,94555,82.07,0
114,94556,83.08,0
115,94558,78.11,4
116,94559,80.09,2
117,94560,81.015,0
118,94561,76.9325,0
119,94563,84.13,0
120,94564,78.67500000000001,0
121,94565,76.588,0
122,94566,81.755,7
123,94567,82.99000000000001,0
124,94568,80.69999999999999,12
125,94569,78.77000000000001,13
126,94571,76.41250000000001,0
127,94572,80.57666666666667,2
128,94573,80.07,27
129,94574,82.99000000000001,21
130,94575,85.14,8
131,94576,82.99000000000001,16
132,94577,79.365,0
133,94578,78.405,0
134,94579,80.015,0
135,94580,79.615,0
136,94582,85.64,0
137,94583,81.94,11
138,94585,77.39000000000001,0
139,94586,79.975,3
140,94587,80.81,0
141,94588,81.19,10
142,94589,77.57499999999999,0
143,94590,75.08,2
144,94591,79.035,5
145,94592,75.08,0
146,94595,83.66,0
147,94596,82.275,1
148,94597,83.81,8
149,94598,82.69,1
150,94599,78.43666666666667,17
151,94601,76.895,4
152,94602,79.31,3
153,94603,72.805,0
154,94605,75.42,0
155,94606,77.945,4
156,94607,74.34666666666666,5
157,94608,75.205,5
158,94609,75.235,4
159,94610,80.36500000000001,4
160,94611,82.7,1
161,94612,76.105,4
162,94613,80.31,0
163,94618,82.33,1
164,94619,78.97,0
165,94621,73.0,0
166,94702,78.975,1
167,94703,79.43,1
168,94704,81.435,1
169,94705,82.59,1
170,94706,82.005,0
171,94707,83.345,0
172,94708,84.7,0
173,94709,83.38499999999999,0
174,94710,78.975,1
175,94720,81.19,1
176,94801,75.46,0
177,94803,78.3,0
178,94804,75.89500000000001,0
179,94805,79.72,0
180,94806,77.03999999999999,0
181,94850,77.93,8
182,94901,81.59,9
183,94903,81.33,13
184,94904,82.98,9
185,94920,83.9,0
186,94922,81.36500000000001,0
187,94923,81.36500000000001,0
188,94924,81.73,0
189,94925,81.345,5
190,94928,78.645,0
191,94929,81.36500000000001,0
192,94930,82.325,9
193,94931,79.945,0
194,94933,82.325,0
195,94937,81.73,0
196,94938,82.325,0
197,94939,80.88666666666667,8
198,94940,81.73,0
199,94941,82.285,0
200,94945,80.675,7
201,94946,81.73,0
202,94947,80.655,5
203,94949,81.62,9
204,94950,81.73,0
205,94951,79.945,0
206,94952,78.92333333333333,0
207,94954,80.36500000000001,0
208,94956,80.94333333333334,0
209,94957,83.36,13
210,94960,82.09333333333332,9
211,94963,81.10666666666667,1
212,94964,81.36500000000001,6
213,94965,81.17500000000001,17
214,94970,81.73,0
215,94971,81.36500000000001,0
216,94972,81.36500000000001,0
217,94973,82.325,4
218,95002,78.9,6
219,95006,80.36,0
220,95008,80.66999999999999,5
221,95013,82.43,3
222,95014,83.515,14
223,95020,79.8,2
224,95023,78.53,1
225,95030,79.255,0
226,95032,82.82,1
227,95033,78.50333333333333,1
228,95035,82.47,0
229,95037,80.89,3
230,95046,79.8,4
231,95050,80.02000000000001,7
232,95051,81.63499999999999,14
233,95053,80.84,3
234,95054,80.685,9
235,95070,82.92,6
236,95076,79.8,4
237,95110,79.27,12
238,95111,80.0,17
239,95112,79.715,10
240,95113,79.715,12
241,95116,80.60499999999999,12
242,95117,80.88,10
243,95118,80.765,12
244,95119,81.055,7
245,95120,82.885,6
246,95121,81.66499999999999,16
247,95122,80.405,14
248,95123,80.905,10
249,95124,80.66499999999999,4
250,95125,80.955,14
251,95126,80.41,9
252,95127,80.08500000000001,9
253,95128,78.39,11
254,95129,83.175,11
255,95130,81.09,6
256,95131,83.15,6
257,95132,81.155,0
258,95133,82.03999999999999,9
259,95134,78.9,1
260,95135,83.72999999999999,7
261,95136,80.505,17
262,95138,81.465,7
263,95139,81.055,4
264,95140,81.155,1
265,95148,82.06,13
266,95377,81.33,1
267,95391,84.76,1
268,95401,78.61,16
269,95403,79.47,17
270,95404,79.61,12
271,95405,79.975,12
272,95407,77.225,11
273,95409,80.94666666666667,8
274,95412,81.36500000000001,0
275,95419,79.57,1
276,95421,81.36500000000001,0
277,95425,78.91499999999999,2
278,95430,80.84666666666668,1
279,95431,74.445,2
280,95436,79.17333333333333,1
281,95439,79.47,15
282,95441,78.01333333333334,7
283,95442,74.445,2
284,95444,80.985,10
285,95446,76.19,2
286,95448,80.53999999999999,12
287,95450,80.84666666666668,0
288,95452,74.445,2
289,95461,82.34,0
290,95462,76.19,2
291,95465,81.36500000000001,1
292,95471,76.845,2
293,95472,80.985,9
294,95476,79.47666666666667,1
295,95480,79.81,0
296,95486,82.92,2
297,95492,79.94,7
298,95497,81.36500000000001,1
299,95616,79.2,11
300,95618,79.2,11
301,95620,79.34,0
302,95625,78.16499999999999,2
303,95687,78.16499999999999,3
304,95688,78.575,3
305,95690,76.47,0
306,95694,78.575,0
